case_id,arch,anchored,pose,noise,seed,gt_x,gt_y,pred_x,pred_y,err_px,success_1px,gt_rotation_deg,gt_scale,theta_err_deg,scale_err,confidence,low_confidence_flag,ncc_peak,psr,n_tied,tie_break_used,uniqueness_score,theta_est,scale_est,subpixel_error,subpixel_method,mode_used,failure_mode,elapsed_ms,wall_ms,error
dram_unanchored_pose-none_0010,dram,unanchored,none,none,20260817,158.01080438142,695.1538958053641,301.6899999976158,567.429999999702,192.24230755141463,0,0.0,10.0,0.0,0.0,0.0,1,0.9739617109298706,0.0,30,False,0.0,0.0,10.0,0.20637479424476624,phase_cross_correlation,fast,none,35.669791999680456,35.67095900507411,
dram_unanchored_pose-none_0011,dram,unanchored,none,none,20260818,140.26158646501844,277.5597503670893,359.570000000298,913.5599999986589,672.7499518980139,0,0.0,10.0,0.0,0.0,0.0,1,0.9823183417320251,0.0,30,False,0.0,0.0,10.0,0.1750367432832718,phase_cross_correlation,fast,none,33.45670799899381,33.457833000284154,
dram_unanchored_pose-small_0012,dram,unanchored,small,none,20260819,684.6015741939241,751.8363506982323,280.4900000002235,187.57999999821186,694.0399078602146,0,0.9138978509912716,9.94771631083826,-0.9138978509912716,0.0522836891617402,0.0,1,0.9324796199798584,0.0,30,False,0.0,0.0,10.0,0.2830089032649994,phase_cross_correlation,fast,none,33.661291003227234,33.6626670032274,
dram_unanchored_pose-small_0013,dram,unanchored,small,none,20260820,161.17060807822241,299.808833505497,529.5,476.4900000002235,408.5128829638102,0,-1.0036012811178865,9.838603243886956,1.0036012811178865,0.16139675611304405,0.0,1,0.8620086312294006,0.0,30,False,0.0,0.0,10.0,0.3624880015850067,phase_cross_correlation,fast,none,33.01687499333639,33.01816699968185,
dram_unanchored_pose-small_0014,dram,unanchored,small,none,20260821,547.5489459802371,590.5280379857218,359.57999999821186,317.5,331.47644589009076,0,-2.323061161599223,10.113759532132338,2.323061161599223,-0.11375953213233814,0.0,1,0.7453709244728088,0.0,30,False,0.0,0.0,10.0,0.4210173189640045,phase_cross_correlation,fast,none,33.145332999993116,33.14666599908378,
dram_unanchored_pose-large_0015,dram,unanchored,large,none,20260822,296.45699639067254,169.17991915204306,298.31999999284744,271.2199999988079,102.05708638617911,0,1.0415378145780263,9.69699190737885,-1.0415378145780263,0.30300809262115,0.0,1,0.8231281042098999,0.0,30,False,0.0,0.0,10.0,0.3768474757671356,phase_cross_correlation,fast,none,32.94800000003306,32.94929199910257,
dram_unanchored_pose-large_0016,dram,unanchored,large,none,20260823,888.859688202218,226.75668622510898,363.06999999284744,301.4400000013411,531.0672213419938,0,-7.340117324645227,9.67516094283618,7.340117324645227,0.32483905716381933,0.0,1,0.1571098417043686,0.0,30,False,0.0,0.0,10.0,0.783860445022583,phase_cross_correlation,fast,none,33.336084001348354,33.33750000456348,
dram_unanchored_pose-large_0017,dram,unanchored,large,none,20260824,91.97640380738139,125.25917826325954,84.90999999642372,478.570000000298,353.3814805834071,0,5.977897244993629,9.804499795157373,-5.977897244993629,0.1955002048426273,0.0,1,0.31624484062194824,0.0,30,False,0.0,0.0,10.0,0.6899195909500122,phase_cross_correlation,fast,none,32.99604100175202,32.9975840068073,
finfet_anchored_pose-none_0018,finfet,anchored,none,none,20260825,109.54818884074346,174.1488406861064,109.53999999910593,174.09999999403954,0.049522422486545654,1,0.0,10.0,0.0,0.0,0.0,1,0.9435741901397705,0.0,30,False,0.0,0.0,10.0,0.2823072373867035,phase_cross_correlation,fast,none,33.85725000407547,33.85829200124135,
finfet_anchored_pose-none_0019,finfet,anchored,none,none,20260826,231.23683679779344,180.29016024682034,231.26000000536442,180.2800000011921,0.025293571835591767,1,0.0,10.0,0.0,0.0,0.0,1,0.9177603125572205,0.0,30,False,0.0,0.0,10.0,0.35663163661956787,phase_cross_correlation,fast,none,33.68404199864017,33.68520900403382,
finfet_anchored_pose-none_0020,finfet,anchored,none,none,20260827,678.5219564311266,677.7955254860101,678.519999999553,677.7399999946356,0.05555994795608616,1,0.0,10.0,0.0,0.0,0.0,1,0.944598376750946,0.0,30,False,0.0,0.0,10.0,0.3341336250305176,phase_cross_correlation,fast,none,33.15133300202433,33.15275000204565,
finfet_anchored_pose-small_0021,finfet,anchored,small,none,20260828,827.4851369778918,494.0906060048931,827.4600000008941,494.1599999964237,0.07380646091727378,1,2.0575761385876294,9.955690957100625,-2.0575761385876294,0.04430904289937487,0.0,1,0.609520673751831,0.0,30,False,0.0,0.0,10.0,0.5571425557136536,phase_cross_correlation,fast,none,33.09170899592573,33.093083002313506,
finfet_anchored_pose-small_0022,finfet,anchored,small,none,20260829,662.9364136000968,419.7799120747404,662.919999986887,419.7800000011921,0.0164138487157046,1,0.9314873841692306,9.989104339496878,-0.9314873841692306,0.010895660503122073,0.0,1,0.8562990427017212,0.0,30,False,0.0,0.0,10.0,0.3393383324146271,phase_cross_correlation,fast,none,33.79216600296786,33.79375000076834,
finfet_anchored_pose-small_0023,finfet,anchored,small,none,20260830,213.55827093660636,378.6213387127585,213.55000000074506,378.64000000059605,0.02041205633390719,1,-2.023660196610077,9.988994883618883,2.023660196610077,0.01100511638111712,0.0,1,0.6783064603805542,0.0,30,False,0.0,0.0,10.0,0.4991915225982666,phase_cross_correlation,fast,none,33.588332997169346,33.589749997190665,
finfet_anchored_pose-large_0024,finfet,anchored,large,none,20260831,499.15451024487834,908.5564503561699,499.16,906.81,1.7464589843387026,0,-5.408718301565868,10.143521041510661,5.408718301565868,-0.14352104151066136,0.0,1,0.09145598113536835,0.0,30,False,0.0,0.0,10.0,0.908220105275684,surface_upsampling,fast,none,33.21595899615204,33.21745800349163,
finfet_anchored_pose-large_0025,finfet,anchored,large,none,20260832,546.4791950302235,512.5803248045311,546.480000000447,512.570000000298,0.01035613632159884,1,0.2849300117120883,10.050214556273406,-0.2849300117120883,-0.05021455627340643,0.0,1,0.9298514127731323,0.0,30,False,0.0,0.0,10.0,0.3394935727119446,phase_cross_correlation,fast,none,33.416083999327384,33.41737499431474,
finfet_anchored_pose-large_0026,finfet,anchored,large,none,20260833,483.25121256729466,83.58333270855138,483.2900000065565,83.7800000011921,0.20045570443147565,1,-2.5213174538290204,10.435749943772796,2.5213174538290204,-0.4357499437727963,0.0,1,0.3200016915798187,0.0,30,False,0.0,0.0,10.0,0.6820692420005798,phase_cross_correlation,fast,none,33.49983400403289,33.501332996820565,
finfet_unanchored_pose-none_0027,finfet,unanchored,none,none,20260834,223.30813925883498,85.44037535669823,204.64000000059605,479.24000000953674,394.2418595229095,0,0.0,10.0,0.0,0.0,0.0,1,0.9451448321342468,0.0,30,False,0.0,0.0,10.0,0.2950136065483093,phase_cross_correlation,fast,none,34.36183300073026,34.363124999799766,
finfet_unanchored_pose-none_0028,finfet,unanchored,none,none,20260835,134.45190713980924,145.84361137703903,600.5599999986589,99.52999999932945,468.4033569770391,0,0.0,10.0,0.0,0.0,0.0,1,0.921073853969574,0.0,30,False,0.0,0.0,10.0,0.3819167912006378,phase_cross_correlation,fast,none,34.67495900258655,34.67629200167721,
finfet_unanchored_pose-none_0029,finfet,unanchored,none,none,20260836,693.8766380383479,807.4081672831171,175.47000000067055,366.6599999964237,680.4442587957565,0,0.0,10.0,0.0,0.0,0.0,1,0.946483850479126,0.0,30,False,0.0,0.0,10.0,0.3589813709259033,phase_cross_correlation,fast,none,34.7774580004625,34.77879199635936,
finfet_unanchored_pose-small_0030,finfet,unanchored,small,none,20260837,424.79746003720913,745.4438761907566,442.5,664.4900000002235,82.8668208115067,0,2.9323982684577445,10.039194103403455,-2.9323982684577445,-0.03919410340345486,0.0,1,0.47542014718055725,0.0,30,False,0.0,0.0,10.0,0.5927748680114746,phase_cross_correlation,fast,none,33.15379200648749,33.1551249983022,
finfet_unanchored_pose-small_0031,finfet,unanchored,small,none,20260838,666.1090457916089,666.9170008740814,538.4900000002235,888.7000000029802,255.87950201474297,0,-0.31360794673520664,10.070861484618234,0.31360794673520664,-0.07086148461823427,0.0,1,0.9175020456314087,0.0,30,False,0.0,0.0,10.0,0.34770673513412476,phase_cross_correlation,fast,none,33.713540993630886,33.71483299997635,
finfet_unanchored_pose-small_0032,finfet,unanchored,small,none,20260839,570.5365038237936,476.1148440757497,837.4700000006706,367.48000000044703,288.1926798662244,0,-0.8915075151635805,9.820908757198897,0.8915075151635805,0.17909124280110333,0.0,1,0.8134753108024597,0.0,30,False,0.0,0.0,10.0,0.42755192518234253,phase_cross_correlation,fast,none,34.271583004738204,34.272832999704406,
finfet_unanchored_pose-large_0033,finfet,unanchored,large,none,20260840,458.7629815598189,255.62091289687504,830.32,881.01,727.4380579952062,0,6.199922786890378,9.736964361810898,-6.199922786890378,0.2630356381891019,0.0,1,0.10487908869981766,0.0,30,False,0.0,0.0,10.0,0.8943625661725967,surface_upsampling,fast,none,36.014874996908475,36.016417005157564,
finfet_unanchored_pose-large_0034,finfet,unanchored,large,none,20260841,328.4806839127475,888.1543424518268,752.67,329.93,701.1069764225323,0,-6.033194009553849,10.381285842870792,6.033194009553849,-0.3812858428707919,0.0,1,0.0944054126739502,0.0,30,False,0.0,0.0,10.0,0.9047395411013323,surface_upsampling,fast,none,35.45887499785749,35.46045799885178,
finfet_unanchored_pose-large_0035,finfet,unanchored,large,none,20260842,609.6081824498576,660.5918651312362,575.4400000013411,845.2400000095367,187.78284907272598,0,3.3617024462517584,9.647403841644111,-3.3617024462517584,0.35259615835588853,0.0,1,0.30248671770095825,0.0,30,False,0.0,0.0,10.0,0.753434956073761,phase_cross_correlation,fast,none,33.16441700007999,33.165792003273964,
