case_id,arch,anchored,pose,noise,weighted,nms_radius,n_peaks,rank
dram_unanchored_pose-none_0103,dram,unanchored,none,high,False,16,30,-1
dram_unanchored_pose-none_0103,dram,unanchored,none,high,True,2,30,-1
dram_unanchored_pose-none_0103,dram,unanchored,none,high,True,4,30,-1
dram_unanchored_pose-none_0103,dram,unanchored,none,high,True,8,30,-1
dram_unanchored_pose-none_0103,dram,unanchored,none,high,True,16,30,-1
dram_unanchored_pose-none_0104,dram,unanchored,none,high,False,2,30,-1
dram_unanchored_pose-none_0104,dram,unanchored,none,high,False,4,30,-1
dram_unanchored_pose-none_0104,dram,unanchored,none,high,False,8,30,-1
dram_unanchored_pose-none_0104,dram,unanchored,none,high,False,16,30,-1
dram_unanchored_pose-none_0104,dram,unanchored,none,high,True,2,30,-1
dram_unanchored_pose-none_0104,dram,unanchored,none,high,True,4,30,-1
dram_unanchored_pose-none_0104,dram,unanchored,none,high,True,8,30,-1
dram_unanchored_pose-none_0104,dram,unanchored,none,high,True,16,30,-1
dram_unanchored_pose-none_0105,dram,unanchored,none,high,False,2,30,-1
dram_unanchored_pose-none_0105,dram,unanchored,none,high,False,4,30,-1
dram_unanchored_pose-none_0105,dram,unanchored,none,high,False,8,30,-1
dram_unanchored_pose-none_0105,dram,unanchored,none,high,False,16,30,-1
dram_unanchored_pose-none_0105,dram,unanchored,none,high,True,2,30,-1
dram_unanchored_pose-none_0105,dram,unanchored,none,high,True,4,30,-1
dram_unanchored_pose-none_0105,dram,unanchored,none,high,True,8,30,-1
dram_unanchored_pose-none_0105,dram,unanchored,none,high,True,16,30,-1
dram_unanchored_pose-none_0106,dram,unanchored,none,high,False,2,30,-1
dram_unanchored_pose-none_0106,dram,unanchored,none,high,False,4,30,-1
dram_unanchored_pose-none_0106,dram,unanchored,none,high,False,8,30,-1
dram_unanchored_pose-none_0106,dram,unanchored,none,high,False,16,30,-1
dram_unanchored_pose-none_0106,dram,unanchored,none,high,True,2,30,-1
dram_unanchored_pose-none_0106,dram,unanchored,none,high,True,4,30,-1
dram_unanchored_pose-none_0106,dram,unanchored,none,high,True,8,30,-1
dram_unanchored_pose-none_0106,dram,unanchored,none,high,True,16,30,-1
dram_unanchored_pose-none_0107,dram,unanchored,none,high,False,2,30,-1
dram_unanchored_pose-none_0107,dram,unanchored,none,high,False,4,30,-1
dram_unanchored_pose-none_0107,dram,unanchored,none,high,False,8,30,-1
dram_unanchored_pose-none_0107,dram,unanchored,none,high,False,16,30,-1
dram_unanchored_pose-none_0107,dram,unanchored,none,high,True,2,30,-1
dram_unanchored_pose-none_0107,dram,unanchored,none,high,True,4,30,-1
dram_unanchored_pose-none_0107,dram,unanchored,none,high,True,8,30,-1
dram_unanchored_pose-none_0107,dram,unanchored,none,high,True,16,30,-1
dram_unanchored_pose-small_0108,dram,unanchored,small,low,False,2,30,-1
dram_unanchored_pose-small_0108,dram,unanchored,small,low,False,4,30,-1
dram_unanchored_pose-small_0108,dram,unanchored,small,low,False,8,30,-1
dram_unanchored_pose-small_0108,dram,unanchored,small,low,False,16,30,-1
dram_unanchored_pose-small_0108,dram,unanchored,small,low,True,2,30,-1
dram_unanchored_pose-small_0108,dram,unanchored,small,low,True,4,30,-1
dram_unanchored_pose-small_0108,dram,unanchored,small,low,True,8,30,-1
dram_unanchored_pose-small_0108,dram,unanchored,small,low,True,16,30,-1
dram_unanchored_pose-small_0109,dram,unanchored,small,low,False,2,30,-1
dram_unanchored_pose-small_0109,dram,unanchored,small,low,False,4,30,-1
dram_unanchored_pose-small_0109,dram,unanchored,small,low,False,8,30,-1
dram_unanchored_pose-small_0109,dram,unanchored,small,low,False,16,30,-1
dram_unanchored_pose-small_0109,dram,unanchored,small,low,True,2,30,-1
dram_unanchored_pose-small_0109,dram,unanchored,small,low,True,4,30,-1
dram_unanchored_pose-small_0109,dram,unanchored,small,low,True,8,30,-1
dram_unanchored_pose-small_0109,dram,unanchored,small,low,True,16,30,-1
dram_unanchored_pose-small_0110,dram,unanchored,small,low,False,2,30,-1
dram_unanchored_pose-small_0110,dram,unanchored,small,low,False,4,30,-1
dram_unanchored_pose-small_0110,dram,unanchored,small,low,False,8,30,-1
dram_unanchored_pose-small_0110,dram,unanchored,small,low,False,16,30,-1
dram_unanchored_pose-small_0110,dram,unanchored,small,low,True,2,30,-1
dram_unanchored_pose-small_0110,dram,unanchored,small,low,True,4,30,-1
dram_unanchored_pose-small_0110,dram,unanchored,small,low,True,8,30,-1
dram_unanchored_pose-small_0110,dram,unanchored,small,low,True,16,30,-1
dram_unanchored_pose-small_0111,dram,unanchored,small,low,False,2,30,-1
dram_unanchored_pose-small_0111,dram,unanchored,small,low,False,4,30,-1
dram_unanchored_pose-small_0111,dram,unanchored,small,low,False,8,30,-1
dram_unanchored_pose-small_0111,dram,unanchored,small,low,False,16,30,-1
dram_unanchored_pose-small_0111,dram,unanchored,small,low,True,2,30,-1
dram_unanchored_pose-small_0111,dram,unanchored,small,low,True,4,30,-1
dram_unanchored_pose-small_0111,dram,unanchored,small,low,True,8,30,-1
dram_unanchored_pose-small_0111,dram,unanchored,small,low,True,16,30,-1
dram_unanchored_pose-small_0112,dram,unanchored,small,low,False,2,30,-1
dram_unanchored_pose-small_0112,dram,unanchored,small,low,False,4,30,-1
dram_unanchored_pose-small_0112,dram,unanchored,small,low,False,8,30,-1
dram_unanchored_pose-small_0112,dram,unanchored,small,low,False,16,30,-1
dram_unanchored_pose-small_0112,dram,unanchored,small,low,True,2,30,-1
dram_unanchored_pose-small_0112,dram,unanchored,small,low,True,4,30,-1
dram_unanchored_pose-small_0112,dram,unanchored,small,low,True,8,30,-1
dram_unanchored_pose-small_0112,dram,unanchored,small,low,True,16,30,-1
dram_unanchored_pose-small_0113,dram,unanchored,small,low,False,2,30,-1
dram_unanchored_pose-small_0113,dram,unanchored,small,low,False,4,30,-1
dram_unanchored_pose-small_0113,dram,unanchored,small,low,False,8,30,-1
dram_unanchored_pose-small_0113,dram,unanchored,small,low,False,16,30,-1
dram_unanchored_pose-small_0113,dram,unanchored,small,low,True,2,30,-1
dram_unanchored_pose-small_0113,dram,unanchored,small,low,True,4,30,-1
dram_unanchored_pose-small_0113,dram,unanchored,small,low,True,8,30,-1
dram_unanchored_pose-small_0113,dram,unanchored,small,low,True,16,30,-1
dram_unanchored_pose-small_0114,dram,unanchored,small,low,False,2,30,-1
dram_unanchored_pose-small_0114,dram,unanchored,small,low,False,4,30,-1
dram_unanchored_pose-small_0114,dram,unanchored,small,low,False,8,30,-1
