case_id,arch,anchored,pose,noise,stage,gt_x,gt_y,pred_x,pred_y,err_px,success_1px,wall_ms
dram_unanchored_pose-none_0032,dram,unanchored,none,none,ncc,570.7530609392039,476.04151324436907,862.5,748.5,399.186552198984,0,55.93958399549592
dram_unanchored_pose-none_0032,dram,unanchored,none,none,weighted,570.7530609392039,476.04151324436907,862.5,748.5,399.186552198984,0,272.44079200318083
dram_unanchored_pose-none_0032,dram,unanchored,none,none,selected,570.7530609392039,476.04151324436907,862.5,748.5,399.186552198984,0,277.2862499987241
dram_unanchored_pose-none_0033,dram,unanchored,none,none,ncc,458.57515523793955,254.50781532554143,98.5,671.5,550.94155724469,0,55.68325000058394
dram_unanchored_pose-none_0033,dram,unanchored,none,none,weighted,458.57515523793955,254.50781532554143,98.5,671.5,550.94155724469,0,272.1187079878291
dram_unanchored_pose-none_0033,dram,unanchored,none,none,selected,458.57515523793955,254.50781532554143,98.5,671.5,550.94155724469,0,276.9112079840852
dram_unanchored_pose-none_0034,dram,unanchored,none,none,ncc,329.5315517240419,885.77619103657,536.5,202.5,713.9343750087968,0,55.66499999258667
dram_unanchored_pose-none_0034,dram,unanchored,none,none,weighted,329.5315517240419,885.77619103657,536.5,906.5,208.00340102919156,0,256.6733340063365
dram_unanchored_pose-none_0034,dram,unanchored,none,none,selected,329.5315517240419,885.77619103657,536.5,906.5,208.00340102919156,0,261.47470899741165
dram_unanchored_pose-none_0035,dram,unanchored,none,none,ncc,610.2847123304599,661.5830794084425,945.5,49.5,697.8645894337197,0,55.78966700704768
dram_unanchored_pose-none_0035,dram,unanchored,none,none,weighted,610.2847123304599,661.5830794084425,158.5,49.5,760.7595693736873,0,272.31241601111833
dram_unanchored_pose-none_0035,dram,unanchored,none,none,selected,610.2847123304599,661.5830794084425,158.5,49.5,760.7595693736873,0,277.1579990076134
dram_unanchored_pose-small_0036,dram,unanchored,small,none,ncc,135.79748447778692,673.6411714540867,538.5,427.5,471.9690586179441,0,56.628709004144184
dram_unanchored_pose-small_0036,dram,unanchored,small,none,weighted,135.79748447778692,673.6411714540867,538.5,427.5,471.9690586179441,0,271.99016700615175
dram_unanchored_pose-small_0036,dram,unanchored,small,none,selected,135.79748447778692,673.6411714540867,538.5,427.5,471.9690586179441,0,276.83891700871754
dram_unanchored_pose-small_0037,dram,unanchored,small,none,ncc,547.6301665186736,438.90449098307107,534.5,815.5,376.8243339867104,0,56.19633301103022
dram_unanchored_pose-small_0037,dram,unanchored,small,none,weighted,547.6301665186736,438.90449098307107,93.5,259.5,488.282888833075,0,266.74579200334847
dram_unanchored_pose-small_0037,dram,unanchored,small,none,selected,547.6301665186736,438.90449098307107,93.5,259.5,488.282888833075,0,271.55016700271517
dram_unanchored_pose-small_0038,dram,unanchored,small,none,ncc,806.503308085577,398.7167938292946,767.5,837.5,440.5132915804723,0,56.3614579878049
dram_unanchored_pose-small_0038,dram,unanchored,small,none,weighted,806.503308085577,398.7167938292946,767.5,837.5,440.5132915804723,0,272.90295899729244
dram_unanchored_pose-small_0038,dram,unanchored,small,none,selected,806.503308085577,398.7167938292946,767.5,837.5,440.5132915804723,0,277.7129589958349
dram_unanchored_pose-small_0039,dram,unanchored,small,none,ncc,111.03808871571891,493.9181990839855,718.5,266.5,648.636270135856,0,56.07416600105353
dram_unanchored_pose-small_0039,dram,unanchored,small,none,weighted,111.03808871571891,493.9181990839855,695.5,158.5,673.8702352966919,0,260.45487499504816
dram_unanchored_pose-small_0039,dram,unanchored,small,none,selected,111.03808871571891,493.9181990839855,695.5,158.5,673.8702352966919,0,265.27670900395606
dram_unanchored_pose-small_0040,dram,unanchored,small,none,ncc,284.3758118511194,103.75600264240674,456.5,118.5,172.7545125430649,0,55.86899998888839
dram_unanchored_pose-small_0040,dram,unanchored,small,none,weighted,284.3758118511194,103.75600264240674,667.5,686.5,697.4056997193567,0,275.401040998986
dram_unanchored_pose-small_0040,dram,unanchored,small,none,selected,284.3758118511194,103.75600264240674,667.5,686.5,697.4056997193567,0,280.2417070051888
dram_unanchored_pose-small_0041,dram,unanchored,small,none,ncc,700.8851983400242,612.4152746077232,770.5,396.5,226.86036766938,0,57.50466599420179
dram_unanchored_pose-small_0041,dram,unanchored,small,none,weighted,700.8851983400242,612.4152746077232,676.5,477.5,137.10131006142748,0,273.9026249910239
dram_unanchored_pose-small_0041,dram,unanchored,small,none,selected,700.8851983400242,612.4152746077232,676.5,477.5,137.10131006142748,0,278.7352919840487
dram_unanchored_pose-small_0042,dram,unanchored,small,none,ncc,811.3424628322523,639.9793228231513,768.5,86.5,555.1349722493684,0,55.997957999352366
dram_unanchored_pose-small_0042,dram,unanchored,small,none,weighted,811.3424628322523,639.9793228231513,705.5,776.5,172.7440946464511,0,269.31391601101495
dram_unanchored_pose-small_0042,dram,unanchored,small,none,selected,811.3424628322523,639.9793228231513,705.5,776.5,172.7440946464511,0,274.1222500044387
dram_unanchored_pose-small_0043,dram,unanchored,small,none,ncc,908.4841837538216,828.8418916410936,672.5,477.5,423.2371200685255,0,56.43979199521709
dram_unanchored_pose-small_0043,dram,unanchored,small,none,weighted,908.4841837538216,828.8418916410936,539.5,97.5,819.1521777604252,0,272.5900840014219
dram_unanchored_pose-small_0043,dram,unanchored,small,none,selected,908.4841837538216,828.8418916410936,539.5,97.5,819.1521777604252,0,277.4010840075789
dram_unanchored_pose-small_0044,dram,unanchored,small,none,ncc,723.339317017613,790.725731586064,142.5,867.5,585.8912872572712,0,56.64533299568575
dram_unanchored_pose-small_0044,dram,unanchored,small,none,weighted,723.339317017613,790.725731586064,142.5,867.5,585.8912872572712,0,272.8002500080038
dram_unanchored_pose-small_0044,dram,unanchored,small,none,selected,723.339317017613,790.725731586064,142.5,867.5,585.8912872572712,0,277.60391600895673
dram_unanchored_pose-large_0045,dram,unanchored,large,none,ncc,190.5896443113778,524.7842440036466,938.5,105.5,857.4200705698408,0,56.48670899972785
dram_unanchored_pose-large_0045,dram,unanchored,large,none,weighted,190.5896443113778,524.7842440036466,938.5,105.5,857.4200705698408,0,269.28558399959
dram_unanchored_pose-large_0045,dram,unanchored,large,none,selected,190.5896443113778,524.7842440036466,938.5,105.5,857.4200705698408,0,274.1012089973083
dram_unanchored_pose-large_0046,dram,unanchored,large,none,ncc,726.9179733794075,597.7803465027839,207.5,561.5,520.6834879386257,0,55.69824999838602
dram_unanchored_pose-large_0046,dram,unanchored,large,none,weighted,726.9179733794075,597.7803465027839,308.5,208.5,571.5004712336273,0,257.09774999995716
dram_unanchored_pose-large_0046,dram,unanchored,large,none,selected,726.9179733794075,597.7803465027839,308.5,208.5,571.5004712336273,0,261.9059999997262
dram_unanchored_pose-large_0047,dram,unanchored,large,none,ncc,338.4851735780966,255.92931492873902,805.5,904.5,799.2163547073379,0,56.28779200196732
dram_unanchored_pose-large_0047,dram,unanchored,large,none,weighted,338.4851735780966,255.92931492873902,800.5,824.5,732.6188120407942,0,262.20820799062494
dram_unanchored_pose-large_0047,dram,unanchored,large,none,selected,338.4851735780966,255.92931492873902,800.5,824.5,732.6188120407942,0,267.04029098618776
dram_unanchored_pose-large_0048,dram,unanchored,large,none,ncc,465.2676061863487,610.2377236753262,265.5,224.5,434.396924422407,0,55.757249996531755
dram_unanchored_pose-large_0048,dram,unanchored,large,none,weighted,465.2676061863487,610.2377236753262,265.5,224.5,434.396924422407,0,272.37595900078304
dram_unanchored_pose-large_0048,dram,unanchored,large,none,selected,465.2676061863487,610.2377236753262,265.5,224.5,434.396924422407,0,277.1774180000648
dram_unanchored_pose-large_0049,dram,unanchored,large,none,ncc,516.6283203011997,484.4443674071232,403.5,736.5,276.27895101865096,0,56.40825000591576
dram_unanchored_pose-large_0049,dram,unanchored,large,none,weighted,516.6283203011997,484.4443674071232,403.5,736.5,276.27895101865096,0,264.63254098780453
dram_unanchored_pose-large_0049,dram,unanchored,large,none,selected,516.6283203011997,484.4443674071232,403.5,736.5,276.27895101865096,0,269.4264989841031
dram_unanchored_pose-large_0050,dram,unanchored,large,none,ncc,695.9550925541892,757.5270563459624,295.5,761.5,400.4747999985297,0,55.83745799958706
dram_unanchored_pose-large_0050,dram,unanchored,large,none,weighted,695.9550925541892,757.5270563459624,620.5,638.5,140.92874488459105,0,273.49616700666957
dram_unanchored_pose-large_0050,dram,unanchored,large,none,selected,695.9550925541892,757.5270563459624,620.5,638.5,140.92874488459105,0,278.2942500052741
dram_unanchored_pose-large_0051,dram,unanchored,large,none,ncc,693.9323445696691,621.8323058660986,656.5,255.5,368.2397842997892,0,56.66591699991841
dram_unanchored_pose-large_0051,dram,unanchored,large,none,weighted,693.9323445696691,621.8323058660986,872.5,824.5,270.11220226312986,0,271.7746660055127
dram_unanchored_pose-large_0051,dram,unanchored,large,none,selected,693.9323445696691,621.8323058660986,872.5,824.5,270.11220226312986,0,276.5942910045851
dram_unanchored_pose-large_0052,dram,unanchored,large,none,ncc,587.964568110171,349.1516998264477,99.5,223.5,504.36691403018455,0,55.76437499257736
dram_unanchored_pose-large_0052,dram,unanchored,large,none,weighted,587.964568110171,349.1516998264477,860.5,220.5,301.37488532326324,0,272.3657500027912
dram_unanchored_pose-large_0052,dram,unanchored,large,none,selected,587.964568110171,349.1516998264477,860.5,220.5,301.37488532326324,0,277.1190000057686
dram_unanchored_pose-large_0053,dram,unanchored,large,none,ncc,384.4520308972816,110.9898522503488,478.5,215.5,140.59655570105477,0,57.93716599873733
dram_unanchored_pose-large_0053,dram,unanchored,large,none,weighted,384.4520308972816,110.9898522503488,767.5,396.5,477.7465762323627,0,275.54833301110193
dram_unanchored_pose-large_0053,dram,unanchored,large,none,selected,384.4520308972816,110.9898522503488,767.5,396.5,477.7465762323627,0,280.3791670012288
finfet_anchored_pose-none_0054,finfet,anchored,none,none,ncc,440.3445542093125,788.4638598696087,440.5,788.5,0.1595916754319228,1,56.841540994355455
finfet_anchored_pose-none_0054,finfet,anchored,none,none,weighted,440.3445542093125,788.4638598696087,440.5,788.5,0.1595916754319228,1,273.10237500933
finfet_anchored_pose-none_0054,finfet,anchored,none,none,selected,440.3445542093125,788.4638598696087,440.5,788.5,0.1595916754319228,1,277.9066670045722
finfet_anchored_pose-none_0055,finfet,anchored,none,none,ncc,298.12432671205994,796.5199793693288,298.5,796.5,0.3762041925211243,1,56.92112499673385
finfet_anchored_pose-none_0055,finfet,anchored,none,none,weighted,298.12432671205994,796.5199793693288,298.5,796.5,0.3762041925211243,1,273.0960829940159
finfet_anchored_pose-none_0055,finfet,anchored,none,none,selected,298.12432671205994,796.5199793693288,298.5,796.5,0.3762041925211243,1,277.9298329987796
finfet_anchored_pose-none_0056,finfet,anchored,none,none,ncc,668.7892698007548,850.9803474481276,668.5,850.5,0.5607233618741742,1,55.724499994539656
finfet_anchored_pose-none_0056,finfet,anchored,none,none,weighted,668.7892698007548,850.9803474481276,668.5,850.5,0.5607233618741742,1,272.97154199914075
finfet_anchored_pose-none_0056,finfet,anchored,none,none,selected,668.7892698007548,850.9803474481276,668.5,850.5,0.5607233618741742,1,277.797417002148
finfet_anchored_pose-none_0057,finfet,anchored,none,none,ncc,492.4451689459551,615.9850032513409,492.5,615.5,0.48809281729905624,1,56.5492500027176
finfet_anchored_pose-none_0057,finfet,anchored,none,none,weighted,492.4451689459551,615.9850032513409,492.5,615.5,0.48809281729905624,1,272.64266699785367
finfet_anchored_pose-none_0057,finfet,anchored,none,none,selected,492.4451689459551,615.9850032513409,492.5,615.5,0.48809281729905624,1,277.4660009890795
finfet_anchored_pose-none_0058,finfet,anchored,none,none,ncc,731.783087267738,295.8470216415252,731.5,295.5,0.4478419596712691,1,56.59933399874717
finfet_anchored_pose-none_0058,finfet,anchored,none,none,weighted,731.783087267738,295.8470216415252,731.5,295.5,0.4478419596712691,1,273.0979159969138
finfet_anchored_pose-none_0058,finfet,anchored,none,none,selected,731.783087267738,295.8470216415252,731.5,295.5,0.4478419596712691,1,277.9237489885418
finfet_anchored_pose-none_0059,finfet,anchored,none,none,ncc,886.1489527146338,742.2263007644481,886.5,742.5,0.44513533684118356,1,57.078375000855885
finfet_anchored_pose-none_0059,finfet,anchored,none,none,weighted,886.1489527146338,742.2263007644481,886.5,742.5,0.44513533684118356,1,271.1306249984773
finfet_anchored_pose-none_0059,finfet,anchored,none,none,selected,886.1489527146338,742.2263007644481,886.5,742.5,0.44513533684118356,1,275.9597499971278
finfet_anchored_pose-none_0060,finfet,anchored,none,none,ncc,259.5622195003885,393.1754048338495,259.5,393.5,0.33050459621142164,1,56.75837499438785
finfet_anchored_pose-none_0060,finfet,anchored,none,none,weighted,259.5622195003885,393.1754048338495,259.5,393.5,0.33050459621142164,1,271.9373339932645
finfet_anchored_pose-none_0060,finfet,anchored,none,none,selected,259.5622195003885,393.1754048338495,259.5,393.5,0.33050459621142164,1,276.79883400560357
finfet_anchored_pose-none_0061,finfet,anchored,none,none,ncc,319.49246776214,669.1802573386767,319.5,669.5,0.3198313681884241,1,57.449041996733285
finfet_anchored_pose-none_0061,finfet,anchored,none,none,weighted,319.49246776214,669.1802573386767,319.5,669.5,0.3198313681884241,1,275.73199999460485
finfet_anchored_pose-none_0061,finfet,anchored,none,none,selected,319.49246776214,669.1802573386767,319.5,669.5,0.3198313681884241,1,280.5858329957118
finfet_anchored_pose-none_0062,finfet,anchored,none,none,ncc,635.3667032087445,310.87934398613606,635.5,310.5,0.4020819498269027,1,56.860834010876715
finfet_anchored_pose-none_0062,finfet,anchored,none,none,weighted,635.3667032087445,310.87934398613606,635.5,310.5,0.4020819498269027,1,274.26575000572484
finfet_anchored_pose-none_0062,finfet,anchored,none,none,selected,635.3667032087445,310.87934398613606,635.5,310.5,0.4020819498269027,1,279.0946669992991
finfet_anchored_pose-small_0063,finfet,anchored,small,none,ncc,311.4869294700923,577.3470589684241,311.5,578.5,1.1530151174392078,0,55.71749999944586
finfet_anchored_pose-small_0063,finfet,anchored,small,none,weighted,311.4869294700923,577.3470589684241,311.5,578.5,1.1530151174392078,0,270.05745899805333
